Frame,Lighting,Key Light Position,Lighting Ratio,Shadow Intensity,Color Temperature,Contrast Ratio,Glare Detection
129,High-Key,Front Light,Key-to-Fill Ratio: 26.77:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
130,High-Key,Front Light,Key-to-Fill Ratio: 26.76:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
131,High-Key,Front Light,Key-to-Fill Ratio: 26.74:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
132,High-Key,Front Light,Key-to-Fill Ratio: 26.76:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
133,High-Key,Front Light,Key-to-Fill Ratio: 26.67:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
134,High-Key,Front Light,Key-to-Fill Ratio: 26.71:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
135,High-Key,Front Light,Key-to-Fill Ratio: 26.7:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
136,High-Key,Front Light,Key-to-Fill Ratio: 26.71:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
137,High-Key,Front Light,Key-to-Fill Ratio: 26.64:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
138,High-Key,Front Light,Key-to-Fill Ratio: 26.67:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
139,High-Key,Front Light,Key-to-Fill Ratio: 26.69:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
140,High-Key,Front Light,Key-to-Fill Ratio: 26.7:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
141,High-Key,Front Light,Key-to-Fill Ratio: 26.63:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
142,High-Key,Front Light,Key-to-Fill Ratio: 26.65:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
143,High-Key,Front Light,Key-to-Fill Ratio: 26.57:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
144,High-Key,Front Light,Key-to-Fill Ratio: 26.61:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
145,High-Key,Front Light,Key-to-Fill Ratio: 26.6:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
146,High-Key,Front Light,Key-to-Fill Ratio: 26.61:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
147,High-Key,Front Light,Key-to-Fill Ratio: 26.59:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
148,High-Key,Front Light,Key-to-Fill Ratio: 26.63:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
149,High-Key,Front Light,Key-to-Fill Ratio: 26.6:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
150,Silhouette,Front Light,Key-to-Fill Ratio: 26.61:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
151,Silhouette,Front Light,Key-to-Fill Ratio: 26.58:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
152,Silhouette,Front Light,Key-to-Fill Ratio: 26.62:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
153,High-Key,Front Light,Key-to-Fill Ratio: 26.6:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
154,Silhouette,Front Light,Key-to-Fill Ratio: 26.6:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
155,Silhouette,Front Light,Key-to-Fill Ratio: 26.58:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
156,Silhouette,Front Light,Key-to-Fill Ratio: 26.61:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
