Frame,Angle,Level
405,Medium Shot,High Angle
406,Medium Shot,High Angle
407,Medium Shot,High Angle
408,Medium Shot,High Angle
409,Medium Shot,High Angle
410,Medium Shot,High Angle
411,Over-the-Shoulder,Low Angle
412,Over-the-Shoulder,Low Angle
413,Over-the-Shoulder,Eye Level
414,Over-the-Shoulder,Eye Level
415,Over-the-Shoulder,Eye Level
416,Over-the-Shoulder,Eye Level
417,Over-the-Shoulder,Eye Level
418,Over-the-Shoulder,Eye Level
419,Over-the-Shoulder,Eye Level
420,Over-the-Shoulder,Eye Level
421,Medium Shot,Eye Level
422,Medium Shot,Eye Level
423,Medium Shot,Eye Level
424,Medium Shot,Eye Level
425,Medium Shot,Eye Level
426,Medium Shot,Eye Level
427,Medium Shot,High Angle
428,Close-up,High Angle
429,Close-up,High Angle
430,Close-up,High Angle
431,Close-up,Worm's Eye View
432,Close-up,Worm's Eye View
433,Close-up,Worm's Eye View
434,Close-up,Worm's Eye View
435,Close-up,High Angle
436,Close-up,High Angle
437,Close-up,High Angle
438,Close-up,High Angle
439,Close-up,High Angle
440,Close-up,High Angle
441,Close-up,High Angle
442,Close-up,High Angle
443,Close-up,High Angle
444,Close-up,High Angle
445,Close-up,High Angle
446,Close-up,High Angle
447,Close-up,High Angle
448,Close-up,High Angle
449,Close-up,High Angle
450,Close-up,High Angle
451,Close-up,High Angle
452,Close-up,High Angle
453,Close-up,High Angle
454,Close-up,High Angle
455,Close-up,High Angle
456,Close-up,High Angle
457,Close-up,High Angle
458,Close-up,High Angle
459,Close-up,High Angle
460,Close-up,High Angle
461,Close-up,High Angle
462,Close-up,High Angle
463,Close-up,High Angle
464,Close-up,High Angle
465,Close-up,High Angle
466,Close-up,High Angle
467,Close-up,High Angle
468,Close-up,High Angle
469,Close-up,High Angle
470,Close-up,High Angle
471,Close-up,High Angle
472,Close-up,High Angle
473,Close-up,High Angle
474,Close-up,High Angle
475,Close-up,High Angle
476,Close-up,High Angle
477,Close-up,High Angle
478,Medium Shot,Eye Level
479,Medium Shot,Eye Level
480,Medium Shot,Eye Level
481,Medium Shot,Eye Level
482,Medium Shot,Eye Level
483,Medium Shot,Eye Level
484,Medium Shot,Eye Level
485,Medium Shot,Eye Level
486,Medium Shot,Eye Level
487,Medium Shot,Eye Level
488,Medium Shot,Eye Level
489,Medium Shot,Eye Level
490,Medium Shot,Eye Level
491,Medium Shot,Eye Level
492,Medium Shot,Eye Level
493,Medium Shot,Eye Level
494,Medium Shot,Eye Level
495,Medium Shot,Eye Level
496,Medium Shot,Eye Level
497,Medium Shot,Eye Level
498,Medium Shot,Eye Level
499,Medium Shot,Eye Level
500,Medium Shot,Eye Level
501,Medium Shot,Eye Level
502,Medium Shot,Eye Level
503,Medium Shot,Eye Level
504,Medium Shot,Eye Level
505,Medium Shot,Eye Level
506,Medium Shot,Eye Level
507,Medium Shot,Eye Level
508,Medium Shot,Eye Level
509,Medium Shot,Eye Level
510,Medium Shot,Eye Level
511,Medium Shot,Eye Level
512,Medium Shot,Eye Level
513,Medium Shot,High Angle
514,Medium Shot,High Angle
515,Medium Shot,Eye Level
516,Medium Shot,Dutch Tilt
517,Medium Shot,High Angle
518,Medium Shot,Dutch Tilt
519,Medium Shot,High Angle
520,Medium Shot,High Angle
521,Medium Shot,High Angle
522,Medium Shot,High Angle
523,Medium Shot,Dutch Tilt
524,Medium Shot,Dutch Tilt
525,Medium Shot,Dutch Tilt
526,Medium Shot,Dutch Tilt
527,Medium Shot,Dutch Tilt
528,Medium Shot,Dutch Tilt
529,Medium Shot,Dutch Tilt
530,Medium Shot,Dutch Tilt
531,Medium Shot,Dutch Tilt
532,Medium Shot,Dutch Tilt
533,Medium Shot,Dutch Tilt
534,Medium Shot,Dutch Tilt
