Frame,Shot Scale
8105,Medium Shot (MS)
8129,Close Shot (CS)
8153,Close Shot (CS)
8177,Medium Shot (MS)
8201,Medium Shot (MS)
8225,Close Shot (CS)
8249,Close Shot (CS)
8273,Close Shot (CS)
8297,Close Shot (CS)
8321,Close Shot (CS)
8345,Close Shot (CS)
8369,Medium Shot (MS)
8393,Medium Shot (MS)
8416,Medium Shot (MS)
8440,Medium Shot (MS)
8464,Medium Shot (MS)
8488,Medium Shot (MS)
8512,Medium Shot (MS)
8536,Close Shot (CS)
8560,Close Shot (CS)
8584,Close Shot (CS)
8608,Close Shot (CS)
8632,Close Shot (CS)
8656,Close Shot (CS)
8680,Medium Shot (MS)
8704,Medium Shot (MS)
8728,Medium Shot (MS)
8752,Close Shot (CS)
8776,Close Shot (CS)
8800,Medium Shot (MS)
8824,Medium Shot (MS)
8848,Medium Shot (MS)
8872,Close Shot (CS)
8896,Medium Shot (MS)
8920,Close Shot (CS)
8944,Close Shot (CS)
8968,Close Shot (CS)
8992,Close Shot (CS)
9016,Medium Shot (MS)
9040,Medium Shot (MS)
9064,Close Shot (CS)
9088,Close Shot (CS)
9112,Close Shot (CS)
9136,Close Shot (CS)
9160,Medium Shot (MS)
9184,Long Shot (LS)
9208,Medium Shot (MS)
9232,Close Shot (CS)
9256,Close Shot (CS)
9280,Close Shot (CS)
9304,Close Shot (CS)
9328,Close Shot (CS)
9352,Close Shot (CS)
9376,Close Shot (CS)
9400,Close Shot (CS)
9424,Close Shot (CS)
9448,Close Shot (CS)
9472,Close Shot (CS)
9496,Close Shot (CS)
9520,Close Shot (CS)
9544,Close Shot (CS)
9568,Close Shot (CS)
9592,Close Shot (CS)
9615,Close Shot (CS)
9639,Close Shot (CS)
9663,Close Shot (CS)
9687,Close Shot (CS)
9711,Close Shot (CS)
9735,Long Shot (LS)
9759,Long Shot (LS)
9783,Long Shot (LS)
9807,Long Shot (LS)
9831,Close Shot (CS)
9855,Close Shot (CS)
9879,Long Shot (LS)
9903,Long Shot (LS)
9927,Long Shot (LS)
9951,Medium Shot (MS)
9975,Close Shot (CS)
9999,Medium Shot (MS)
10023,Medium Shot (MS)
10047,Close Shot (CS)
10071,Close Shot (CS)
10095,Close Shot (CS)
10119,Close Shot (CS)
10143,Close Shot (CS)
10167,Close Shot (CS)
10191,Medium Shot (MS)
10215,Close Shot (CS)
10239,Medium Shot (MS)
10263,Close Shot (CS)
10287,Close Shot (CS)
10311,Close Shot (CS)
10335,Medium Shot (MS)
10359,Medium Shot (MS)
10383,Medium Shot (MS)
10407,Close Shot (CS)
10431,Close Shot (CS)
10455,Close Shot (CS)
10479,Close Shot (CS)
10503,Close Shot (CS)
10527,Medium Shot (MS)
10551,Close Shot (CS)
10575,Close Shot (CS)
10599,Medium Shot (MS)
10623,Close Shot (CS)
10647,Close Shot (CS)
10671,Close Shot (CS)
10695,Close Shot (CS)
10719,Close Shot (CS)
10743,Close Shot (CS)
10767,Close Shot (CS)
10791,Close Shot (CS)
10814,Close Shot (CS)
10838,Close Shot (CS)
10862,Close Shot (CS)
10886,Close Shot (CS)
10910,Close Shot (CS)
10934,Close Shot (CS)
10958,Close Shot (CS)
10982,Close Shot (CS)
11006,Close Shot (CS)
11030,Close Shot (CS)
11054,Close Shot (CS)
11078,Close Shot (CS)
11102,Close Shot (CS)
11126,Close Shot (CS)
11150,Close Shot (CS)
11174,Close Shot (CS)
11198,Close Shot (CS)
11222,Close Shot (CS)
11246,Close Shot (CS)
11270,Long Shot (LS)
11294,Close Shot (CS)
11318,Medium Shot (MS)
11342,Close Shot (CS)
11366,Long Shot (LS)
11390,Long Shot (LS)
11414,Long Shot (LS)
11438,Long Shot (LS)
11462,Long Shot (LS)
11486,Close Shot (CS)
11510,Close Shot (CS)
11534,Close Shot (CS)
11558,Close Shot (CS)
11582,Close Shot (CS)
11606,Close Shot (CS)
11630,Close Shot (CS)
11654,Close Shot (CS)
11678,Close Shot (CS)
11702,Close Shot (CS)
11726,Close Shot (CS)
11750,Close Shot (CS)
11774,Close Shot (CS)
11798,Close Shot (CS)
11822,Close Shot (CS)
11846,Close Shot (CS)
11870,Medium Shot (MS)
11894,Medium Shot (MS)
11918,Medium Shot (MS)
11942,Medium Shot (MS)
11966,Close Shot (CS)
11990,Close Shot (CS)
12013,Close Shot (CS)
12037,Close Shot (CS)
12061,Close Shot (CS)
12085,Close Shot (CS)
12109,Close Shot (CS)
12133,Close Shot (CS)
12157,Medium Shot (MS)
12181,Close Shot (CS)
12205,Close Shot (CS)
12229,Close Shot (CS)
12253,Close Shot (CS)
12277,Close Shot (CS)
12301,Close Shot (CS)
12325,Close Shot (CS)
12349,Close Shot (CS)
12373,Close Shot (CS)
12397,Close Shot (CS)
12421,Close Shot (CS)
12445,Close Shot (CS)
12469,Medium Shot (MS)
12493,Close Shot (CS)
12517,Close Shot (CS)
12541,Medium Shot (MS)
12565,Medium Shot (MS)
12589,Close Shot (CS)
12613,Close Shot (CS)
12637,Close Shot (CS)
12661,Close Shot (CS)
12685,Close Shot (CS)
12709,Close Shot (CS)
12733,Long Shot (LS)
12757,Long Shot (LS)
12781,Long Shot (LS)
12805,Close Shot (CS)
12829,Close Shot (CS)
12853,Close Shot (CS)
12877,Close Shot (CS)
12901,Close Shot (CS)
12925,Close Shot (CS)
12949,Long Shot (LS)
12973,Long Shot (LS)
12997,Long Shot (LS)
13021,Long Shot (LS)
13045,Long Shot (LS)
13069,Long Shot (LS)
13093,Long Shot (LS)
13117,Close Shot (CS)
13141,Medium Shot (MS)
13165,Close Shot (CS)
13189,Medium Shot (MS)
13212,Medium Shot (MS)
13236,Medium Shot (MS)
13260,Medium Shot (MS)
13284,Medium Shot (MS)
13308,Medium Shot (MS)
13332,Medium Shot (MS)
13356,Medium Shot (MS)
13380,Close Shot (CS)
13404,Close Shot (CS)
13428,Close Shot (CS)
13452,Close Shot (CS)
13476,Medium Shot (MS)
13500,Medium Shot (MS)
13524,Medium Shot (MS)
13548,Medium Shot (MS)
13572,Close Shot (CS)
13596,Close Shot (CS)
13620,Close Shot (CS)
13644,Close Shot (CS)
13668,Close Shot (CS)
13692,Close Shot (CS)
13716,Close Shot (CS)
13740,Close Shot (CS)
13764,Close Shot (CS)
13788,Close Shot (CS)
13812,Close Shot (CS)
13836,Close Shot (CS)
13860,Close Shot (CS)
13884,Close Shot (CS)
13908,Close Shot (CS)
13932,Close Shot (CS)
13956,Close Shot (CS)
13980,Close Shot (CS)
14004,Close Shot (CS)
14028,Close Shot (CS)
14052,Close Shot (CS)
14076,Close Shot (CS)
14100,Close Shot (CS)
14124,Close Shot (CS)
14148,Close Shot (CS)
14172,Close Shot (CS)
14196,Close Shot (CS)
14220,Close Shot (CS)
14244,Long Shot (LS)
14268,Long Shot (LS)
14292,Medium Shot (MS)
14316,Close Shot (CS)
14340,Long Shot (LS)
14364,Long Shot (LS)
14388,Long Shot (LS)
14411,Long Shot (LS)
14435,Close Shot (CS)
14459,Close Shot (CS)
14483,Long Shot (LS)
14507,Long Shot (LS)
14531,Long Shot (LS)
14555,Medium Shot (MS)
14579,Medium Shot (MS)
14603,Medium Shot (MS)
14627,Medium Shot (MS)
14651,Medium Shot (MS)
14675,Medium Shot (MS)
14699,Close Shot (CS)
14723,Close Shot (CS)
14747,Medium Shot (MS)
14771,Medium Shot (MS)
14795,Medium Shot (MS)
14819,Medium Shot (MS)
14843,Medium Shot (MS)
14867,Medium Shot (MS)
14891,Long Shot (LS)
14915,Long Shot (LS)
14939,Long Shot (LS)
14963,Long Shot (LS)
14987,Close Shot (CS)
15011,Medium Shot (MS)
15035,Close Shot (CS)
15059,Medium Shot (MS)
15083,Medium Shot (MS)
15107,Medium Shot (MS)
15131,Close Shot (CS)
15155,Close Shot (CS)
15179,Close Shot (CS)
15203,Close Shot (CS)
15227,Long Shot (LS)
15251,Close Shot (CS)
15275,Medium Shot (MS)
15299,Long Shot (LS)
15323,Medium Shot (MS)
15347,Medium Shot (MS)
15371,Close Shot (CS)
15395,Close Shot (CS)
15419,Close Shot (CS)
15443,Medium Shot (MS)
15467,Medium Shot (MS)
15491,Medium Shot (MS)
15515,Medium Shot (MS)
15539,Close Shot (CS)
15563,Close Shot (CS)
15587,Medium Shot (MS)
15610,Medium Shot (MS)
15634,Medium Shot (MS)
15658,Medium Shot (MS)
15682,Medium Shot (MS)
15706,Close Shot (CS)
15730,Medium Shot (MS)
15754,Close Shot (CS)
15778,Close Shot (CS)
15802,Close Shot (CS)
15826,Close Shot (CS)
15850,Close Shot (CS)
15874,Long Shot (LS)
15898,Close Shot (CS)
15922,Close Shot (CS)
15946,Close Shot (CS)
15970,Close Shot (CS)
15994,Close Shot (CS)
16018,Close Shot (CS)
16042,Long Shot (LS)
16066,Long Shot (LS)
16090,Long Shot (LS)
16114,Close Shot (CS)
16138,Medium Shot (MS)
16162,Close Shot (CS)
16186,Medium Shot (MS)
16210,Close Shot (CS)
16234,Medium Shot (MS)
16258,Medium Shot (MS)
16282,Medium Shot (MS)
16306,Close Shot (CS)
16330,Medium Shot (MS)
